Id,group,name,Counter,radius
109,10,маша,55,20.0
110,11,не,54,20.0
111,10,где,54,20.0
112,11,слова,53,20.0
113,11,мама,53,20.0
114,5,любовь,53,20.0
115,12,привет,52,20.0
116,11,москва,52,20.0
117,11,х**,52,20.0
118,11,алина,52,20.0
119,10,и,52,20.0
120,11,даша,51,20.0
121,11,дура,51,20.0
122,10,видео,51,20.0
123,10,я хочу,51,20.0
124,11,хорошо,50,20.0
125,10,хочу,50,20.0
126,10,да,50,20.0
127,10,жизнь,50,20.0
128,11,дела,49,20.0
129,10,говори,49,20.0
130,4,марина,49,20.0
131,10,что-нибудь,49,20.0
132,10,иллюзия,48,20.0
133,10,яндекс,48,20.0
134,10,сколько,48,20.0
135,11,кто ты,48,20.0
136,10,в,47,20.0
137,10,люблю тебя,47,20.0
138,11,есть,47,20.0
139,10,настя,47,20.0
140,11,кто,46,19.0
141,11,в чем смысл жизни,46,19.0
142,7,космос,45,19.0
143,11,я хочу,45,19.0
144,6,алло,45,19.0
145,10,света,45,19.0
146,11,mail,45,19.0
147,11,я тебя,45,19.0
148,11,оля,44,19.0
149,10,будет,44,19.0
150,10,есть,44,19.0
151,11,где,44,19.0
152,11,хочу,43,19.0
153,11,здравствуй,43,19.0
154,10,давай,43,19.0
155,11,мне,43,19.0
156,10,говорить,43,19.0
157,10,мир,43,19.0
158,11,меня,43,19.0
159,10,хорошо,43,19.0
160,11,стихи,42,18.0
161,11,россия,42,18.0
162,10,полина,42,18.0
163,11,давай,42,18.0
164,11,лера,42,18.0
165,3,1,42,18.0
166,4,люблю,42,18.0
167,10,зачем,42,18.0
168,4,любовь,42,18.0
169,11,зовут,42,18.0
170,10,пожалуйста,42,18.0
171,11,женя,42,18.0
172,6,1,42,18.0
173,11,полина,42,18.0
174,11,раз раз раз,41,18.0
175,11,говори,41,18.0
176,10,меня зовут,41,18.0
177,6,света,41,18.0
178,11,юля,40,18.0
179,11,лучше,40,18.0
180,10,на,40,18.0
181,11,наташа,40,18.0
182,10,как тебя,39,18.0
183,11,привет привет,39,18.0
184,11,спасибо,39,18.0
185,10,жизни,39,18.0
186,10,день,38,18.0
187,6,как дела,38,18.0
188,11,люблю тебя,38,18.0
189,2,привет,38,18.0
190,11,сегодня,38,18.0
191,11,2,38,18.0
192,11,скажи что-нибудь,38,18.0
193,10,секс,38,18.0
194,10,моя,37,18.0
195,11,ты кто,37,18.0
196,11,видео,37,18.0
197,11,солнце,37,18.0
198,10,карина,37,18.0
199,6,что,37,18.0
200,3,люблю,37,18.0
201,11,в,37,18.0
202,10,лучше,37,18.0
203,10,юля,37,18.0
204,11,ира,36,18.0
205,6,настя,36,18.0
206,10,катя,36,18.0
207,11,мир,36,18.0
208,10,смерть,36,18.0
209,10,google,36,18.0
210,10,скажи что-нибудь,36,18.0
211,11,ok google,36,18.0
212,10,ж***,35,18.0
213,10,что ты,35,18.0
214,10,песня,35,18.0
215,11,анна,35,18.0
216,10,ты кто,35,18.0
217,10,завтра,35,18.0
218,11,смерть,35,18.0
219,4,тебя,35,18.0
220,10,ok google,35,18.0
221,11,вторник,35,18.0
222,11,космос,35,18.0
223,3,микрофон,34,18.0
224,10,mail,34,18.0
225,11,тебе,34,18.0
226,10,светлана,34,18.0
227,10,ку-ку,34,18.0
228,10,рождения,34,18.0
229,10,папа,34,18.0
230,11,раз раз,34,18.0
231,11,проснись,34,18.0
232,6,ты,34,18.0
233,11,лена,34,18.0
234,10,очень,34,18.0
235,11,лол,34,18.0
236,10,расскажи,34,18.0
237,10,саша,33,18.0
238,11,светлана,33,18.0
239,3,нет,33,18.0
240,10,эй,33,18.0
241,11,расскажи,33,18.0
242,3,путин,33,18.0
243,11,дурак,33,18.0
244,10,любит,33,18.0
245,11,синхрофазотрон,33,18.0
246,10,лена,33,18.0
247,11,какашка,32,18.0
248,3,аня,32,18.0
249,3,это,32,18.0
250,11,марина,32,18.0
251,4,1,32,18.0
252,11,как тебя,32,18.0
253,10,доброе утро,32,18.0
254,10,спасибо,32,18.0
255,11,на,32,18.0
256,10,андрей,31,17.0
257,6,юля,31,17.0
258,11,что-нибудь,31,17.0
259,10,москва,31,17.0
260,11,если,31,17.0
261,10,россия,31,17.0
262,4,нет,31,17.0
263,7,я,31,17.0
264,11,вика,31,17.0
265,11,мария,31,17.0
266,3,катя,31,17.0
267,3,алло,31,17.0
268,10,у меня,30,17.0
269,11,google,30,17.0
270,2,даша,30,17.0
271,10,какой,30,17.0
272,5,люблю,30,17.0
273,10,привет привет,30,17.0
274,10,дима,30,17.0
275,10,в чем смысл,30,17.0
276,10,до свидания,30,17.0
277,11,голос,30,17.0
278,11,youtube,30,17.0
279,10,говорите,30,17.0
280,6,нет,30,17.0
281,10,сережа,30,17.0
282,7,любовь,30,17.0
283,10,лада седан,29,17.0
284,11,она,29,17.0
285,10,блин,29,17.0
286,4,что,29,17.0
287,11,очень,29,17.0
288,10,вк,29,17.0
289,11,с*****,29,17.0
290,4,кто,29,17.0
291,11,3,29,17.0
292,11,говорить,29,17.0
293,10,работа,29,17.0
294,11,ха ха,29,17.0
295,11,сколько,29,17.0
296,8,я,29,17.0
297,11,андрей,28,16.0
298,11,не знаю,28,16.0
299,6,любовь,28,16.0
300,8,люблю,28,16.0
301,3,что,28,16.0
302,12,1,28,16.0
303,6,жизнь,28,16.0
304,10,игра,28,16.0
305,11,секс,28,16.0
306,5,1,28,16.0
307,11,люди,28,16.0
308,7,юля,28,16.0
309,10,лиза,28,16.0
310,10,наташа,28,16.0
311,11,арина,28,16.0
312,10,ха-ха-ха,28,16.0
313,5,нет,27,16.0
314,5,я люблю,27,16.0
315,10,что делать,27,16.0
316,10,алиса,27,16.0
317,10,олег,27,16.0
318,11,анастасия,27,16.0
319,2,любовь,27,16.0
320,11,сейчас,27,16.0
321,10,как твои дела,27,16.0
322,10,погода,27,16.0
323,10,много,27,16.0
324,11,скачать,27,16.0
325,10,добрый день,27,16.0
326,11,блин,27,16.0
327,11,пустота,27,16.0
328,5,ты,26,16.0
329,11,говорите,26,16.0
330,11,илья,26,16.0
331,11,счастья,26,16.0
332,3,сережа,26,16.0
333,3,настя,26,16.0
334,10,хороший,26,16.0
335,10,марс,26,16.0
336,11,ксюша,26,16.0
337,7,люблю,26,16.0
338,5,настя,26,16.0
339,3,как дела,26,16.0
340,10,будущее,26,16.0
341,11,лиза,26,16.0
342,3,я люблю,26,16.0
343,10,youtube,26,16.0
344,6,тебя,25,16.0
345,5,что,25,16.0
346,10,тебя люблю,25,16.0
347,10,п*****,25,16.0
348,10,вечность,25,16.0
349,11,сон,25,16.0
350,11,на карте,25,16.0
351,7,маша,25,16.0
352,4,я люблю тебя,25,16.0
353,11,кто я,25,16.0
354,6,катя,25,16.0
355,10,ну,25,16.0
356,11,что это,25,16.0
357,11,добрый,25,16.0
358,10,123,25,16.0
359,10,лавировали,25,16.0
360,6,алиса,25,16.0
361,7,антон,25,16.0
362,11,wi-fi,24,16.0
363,11,просто,24,16.0
364,10,миша миша,24,16.0
365,5,лида,24,16.0
366,11,какой,24,16.0
367,10,раз раз,24,16.0
368,11,александра,24,16.0
369,11,рождения,24,16.0
370,11,жизни,24,16.0
371,6,как,24,16.0
372,10,что такое,24,16.0
373,12,руторика,24,16.0
374,10,wi-fi,24,16.0
375,10,небо,24,16.0
376,5,алло,24,16.0
377,5,путин,24,16.0
378,10,что будет,24,16.0
379,10,море,24,16.0
380,5,счастье,24,16.0
381,11,кирилл,24,16.0
382,5,ку-ку,24,16.0
383,11,молодец,24,16.0
384,10,нет нет,24,16.0
385,11,вселенная,24,16.0
386,11,мысли,24,16.0
387,10,алина,24,16.0
388,10,добрый,23,16.0
389,10,самая,23,16.0
390,11,будет,23,16.0
391,4,я люблю,23,16.0
392,10,смотреть,23,16.0
393,11,дима,23,16.0
394,6,оксана,23,16.0
395,2,чуваки,23,16.0
396,10,работает,23,16.0
397,11,навсегда,23,16.0
398,11,доброе утро,23,16.0
399,1,спасибо,23,16.0
400,10,звезды,23,16.0
401,11,дебил,23,16.0
402,4,мир,23,16.0
403,10,вопрос,23,16.0
404,3,жизнь,23,16.0
405,11,whatsapp,23,16.0
406,6,дима,23,16.0
407,11,кристина,23,16.0
408,11,пожалуйста,23,16.0
409,11,добро,23,16.0
410,10,1 2,23,16.0
411,10,смысл,23,16.0
412,10,сейчас,23,16.0
413,10,11,22,16.0
414,10,тварь,22,16.0
415,3,ты,22,16.0
416,10,hello,22,16.0
417,10,музыка,22,16.0
418,11,школа,22,16.0
419,6,раз два три,22,16.0
420,11,киса,22,16.0
421,10,артем,22,16.0
422,10,у тебя,22,16.0
423,7,как дела,22,16.0
424,10,мяу,22,16.0
425,6,школа,22,16.0
426,11,minecraft,22,16.0
427,10,дальше,22,16.0
428,6,я тебя люблю,22,16.0
429,4,скажи что-нибудь,22,16.0
430,11,алиса,22,16.0
431,10,в чем,22,16.0
432,10,с***,22,16.0
433,2,я,22,16.0
434,11,стоп,22,16.0
435,10,домой,22,16.0
436,10,бобкова,22,16.0
437,11,выставка,22,16.0
438,10,снег,22,16.0
439,11,нина,22,16.0
440,6,когда,22,16.0
441,10,шла саша по шоссе,22,16.0
442,11,здесь,22,16.0
443,10,вероника,21,15.0
444,4,катя,21,15.0
445,10,иван,21,15.0
446,3,все,21,15.0
447,4,как дела,21,15.0
448,11,ничего,21,15.0
449,5,юля,21,15.0
450,11,ура,21,15.0
451,4,аня,21,15.0
452,6,секс,21,15.0
453,11,лада,21,15.0
454,10,таня,21,15.0
455,11,лавировали,21,15.0
456,10,человек,21,15.0
457,11,таня,21,15.0
458,11,александр,21,15.0
459,3,я тебя люблю,21,15.0
460,11,любит,21,15.0
461,8,москва,21,15.0
462,7,что,21,15.0
463,10,тебе,21,15.0
464,10,поговори со мной,21,15.0
465,6,российско-голландский факультет,21,15.0
466,11,beyonce,21,15.0
467,4,это,21,15.0
468,10,питер,21,15.0
469,3,зачем,21,15.0
470,10,лох,21,15.0
471,3,тебя,21,15.0
472,11,марс,21,15.0
473,11,добрый вечер,21,15.0
474,10,у,21,15.0
475,10,раз раз раз,21,15.0
476,11,остановись,21,15.0
477,11,до свидания,20,15.0
478,10,шла саша по шоссе и сосала сушку,20,15.0
479,11,овца,20,15.0
480,5,это,20,15.0
481,11,переподвыподвертом,20,15.0
482,10,чтобы,20,15.0
483,11,с***,20,15.0
484,11,собака,20,15.0
485,6,в чем смысл жизни,20,15.0
486,11,с днем,20,15.0
487,11,настя настя,20,15.0
488,10,вася,20,15.0
489,11,диана,20,15.0
490,10,дура,20,15.0
491,11,боль,20,15.0
492,11,oracle,20,15.0
493,6,это,20,15.0
494,4,скажи,20,15.0
495,7,полина,20,15.0
496,10,привет стихи,20,15.0
497,11,вот,20,15.0
498,11,покажи покажи,20,15.0
499,10,дурак,20,15.0
500,11,лох,20,15.0
501,11,антон,20,15.0
502,6,россия,20,15.0
503,11,тебя люблю,20,15.0
504,10,о,20,15.0
505,11,хватит,20,15.0
506,10,владимир,20,15.0
507,10,солнце,20,15.0
508,11,чмошник,19,14.0
509,10,с тобой,19,14.0
510,11,меня зовут,19,14.0
511,1,дима,19,14.0
512,10,звезда,19,14.0
513,6,кто ты,19,14.0
514,11,наталья,19,14.0
515,10,доброе,19,14.0
516,11,завтра,19,14.0
517,4,алло,19,14.0
518,10,23,19,14.0
519,11,песня,19,14.0
520,4,время,19,14.0
521,10,вика,19,14.0
522,11,что делать,19,14.0
523,10,10,19,14.0
524,11,матем,19,14.0
525,11,вк,19,14.0
526,10,никогда,19,14.0
527,10,никита,19,14.0
528,10,баклажан,19,14.0
529,3,как,19,14.0
530,11,с тобой,19,14.0
531,10,вечно,19,14.0
532,11,ирина,19,14.0
533,10,что сказать,19,14.0
534,4,жизнь,19,14.0
535,11,прикольно,19,14.0
536,7,1,19,14.0
537,5,даша,19,14.0
538,10,синхрофазотрон,19,14.0
539,11,8,19,14.0
540,10,строгановка,19,14.0
541,10,ваня,19,14.0
542,11,не работает,19,14.0
543,11,п*****,19,14.0
544,5,пока,19,14.0
545,11,что такое,19,14.0
546,10,смысл жизни,19,14.0
547,10,самый,19,14.0
548,4,ку-ку,19,14.0
549,4,польза,19,14.0
550,7,алина,19,14.0
551,11,б****,19,14.0
552,4,как,19,14.0
553,10,хватит,18,14.0
554,11,три,18,14.0
555,10,жить,18,14.0
556,11,леша,18,14.0
557,11,тебя зовут,18,14.0
558,7,рождения,18,14.0
559,6,счастье,18,14.0
560,3,кто ты,18,14.0
561,5,жизнь,18,14.0
562,10,куда,18,14.0
563,11,хороший,18,14.0
564,10,ксюша,18,14.0
565,3,ха-ха-ха,18,14.0
566,11,максим,18,14.0
567,10,плохо,18,14.0
568,8,толик,18,14.0
569,11,жить,18,14.0
570,10,12345,18,14.0
571,5,блин,18,14.0
572,10,кто здесь,18,14.0
573,11,еще,18,14.0
574,11,кто здесь,18,14.0
575,10,искусство,18,14.0
576,10,х** х**,18,14.0
577,10,12,18,14.0
578,10,марина,18,14.0
579,5,лол,18,14.0
580,6,раз два,18,14.0
581,11,13,18,14.0
582,11,черный,18,14.0
583,4,настя,18,14.0
584,11,ахахахаха,18,14.0
585,10,если,18,14.0
586,10,давай поговорим,18,14.0
587,11,владимир,18,14.0
588,1,как дела,18,14.0
589,10,жанна,18,14.0
590,11,аллах акбар,18,14.0
591,11,здорово,18,14.0
592,6,х**,18,14.0
593,10,steam,18,14.0
594,6,и,18,14.0
595,11,игорь,18,14.0
596,10,слушать,18,14.0
597,6,жизни,18,14.0
598,4,кто ты,18,14.0
599,6,я люблю тебя,18,14.0
600,11,светуля,18,14.0
601,6,есть,18,14.0
602,10,антон,18,14.0
603,11,ваня,18,14.0
604,11,игра,18,14.0
605,11,звезда,18,14.0
606,11,эй,18,14.0
607,10,до,18,14.0
608,3,давай,18,14.0
609,11,слушать,18,14.0
610,3,саша,17,14.0
611,1,исаев,17,14.0
612,10,какашка,17,14.0
613,11,что ты,17,14.0
614,10,хахахахахаха,17,14.0
615,5,как дела,17,14.0
616,5,как,17,14.0
617,6,да,17,14.0
618,11,вопрос,17,14.0
619,4,и,17,14.0
620,4,я тебя,17,14.0
621,11,что сказать,17,14.0
622,11,сергей,17,14.0
623,11,что-то,17,14.0
624,11,море,17,14.0
625,10,леша,17,14.0
626,10,vk.com,17,14.0
627,10,больше,17,14.0
628,11,работа,17,14.0
629,10,ты где,17,14.0
630,11,быть,17,14.0
631,6,1 1,17,14.0
632,5,х**,17,14.0
633,10,выставка,17,14.0
634,11,день,17,14.0
635,5,ж***,17,14.0
636,4,хорошо,17,14.0
637,6,10,17,14.0
638,10,что-то,17,14.0
639,10,кино,17,14.0
640,11,ш****,17,14.0
641,5,все,17,14.0
642,11,мы все умрем,17,14.0
643,10,селен,17,14.0
644,4,самара,17,14.0
645,11,улица,17,14.0
646,10,всем,17,14.0
647,10,вселенная,17,14.0
648,11,жизнь боль,17,14.0
649,11,безысходность,17,14.0
650,11,жизнь прекрасна,17,14.0
651,8,аня,17,14.0
652,11,зайка,17,14.0
653,10,остановись,17,14.0
654,10,иди,17,14.0
655,6,кто,17,14.0
656,12,rutor,17,14.0
657,11,у меня,17,14.0
658,11,сколько мне лет,17,14.0
659,11,hello,17,14.0
660,11,ты тупой,17,14.0
661,6,дерибас,17,14.0
662,10,с днем,17,14.0
663,10,здесь,17,14.0
664,10,любим,17,14.0
665,11,смотреть,17,14.0
666,11,макс,17,14.0
667,10,свет,17,14.0
668,10,сюда,17,14.0
669,10,игорь,17,14.0
670,11,влад,16,14.0
671,4,москва,16,14.0
672,10,7,16,14.0
673,11,10,16,14.0
674,10,zara,16,14.0
675,11,все хорошо,16,14.0
676,4,tom,16,14.0
677,10,мной,16,14.0
678,3,а,16,14.0
679,10,миша,16,14.0
680,11,интересно,16,14.0
681,11,п****,16,14.0
682,3,не,16,14.0
683,5,а я,16,14.0
684,11,добрый день,16,14.0
685,11,счастье,16,14.0
686,11,лет,16,14.0
687,11,кино,16,14.0
688,11,или,16,14.0
689,10,здорово,16,14.0
690,11,шла саша по шоссе,16,14.0
691,11,ангелина,16,14.0
692,6,кофе,16,14.0
693,11,смысл жизни,16,14.0
694,11,зацепило,16,14.0
695,10,фото,16,14.0
696,11,скин,16,14.0
697,11,пипия,16,14.0
698,10,я не,16,14.0
699,11,п*******,16,14.0
700,10,расскажи мне,16,14.0
701,5,дура,16,14.0
702,10,все хорошо,16,14.0
703,3,путин путин,16,14.0
704,10,леся,16,14.0
705,11,танцуй,16,14.0
706,11,костя,16,14.0
707,11,мой,16,14.0
708,11,привет как дела,16,14.0
709,11,любви,16,14.0
710,12,1 1,16,14.0
711,4,все,16,14.0
712,11,masin,16,14.0
713,4,ночь,16,14.0
714,8,пока каникулы,16,14.0
715,10,скажи мне,16,14.0
716,10,можно,16,14.0
717,11,в чем,16,14.0
718,11,сережа,16,14.0
719,10,оксаночка,16,14.0
720,4,путин,16,14.0
721,10,ахахахаха,16,14.0
722,3,алена,16,14.0
723,11,тимур,16,14.0
724,10,без,16,14.0
725,6,мила,16,14.0
726,3,полина,16,14.0
727,11,мной,16,14.0
728,11,у тебя,15,14.0
729,6,ok google,15,14.0
730,10,быть,15,14.0
731,8,кто ты,15,14.0
732,10,приветик,15,14.0
733,10,х** х** х**,15,14.0
734,6,google,15,14.0
735,10,надя,15,14.0
736,3,ж***,15,14.0
737,11,слоненок,15,14.0
738,10,может,15,14.0
739,10,говори говори,15,14.0
740,4,п*****,15,14.0
741,11,петух,15,14.0
742,6,видео,15,14.0
743,10,ха ха,15,14.0
744,10,счастья,15,14.0
745,11,олег,15,14.0
746,10,что ты хочешь,15,14.0
747,10,оксана,15,14.0
748,3,х**,15,14.0
749,6,как тебя зовут,15,14.0
750,10,мы пришли,15,14.0
751,11,смысл,15,14.0
752,11,все будет хорошо,15,14.0
753,5,аня,15,14.0
754,6,люблю тебя,15,14.0
755,8,пока,15,14.0
756,11,погода,15,14.0
757,6,зачем,15,14.0
758,10,делаешь,15,14.0
759,5,саша,15,14.0
760,11,лада седан,15,14.0
761,10,люди,15,14.0
762,10,интересно,15,14.0
763,10,сергей,15,14.0
764,4,сейчас,15,14.0
765,10,максим,15,14.0
766,12,что,15,14.0
767,10,тест,15,14.0
768,11,в чем смысл,15,14.0
769,6,ку-ку,15,14.0
770,6,света света,15,14.0
771,5,леша,15,14.0
772,10,пиццерия,15,14.0
773,10,елена,15,14.0
774,10,тебя зовут,15,14.0
775,11,задница,15,14.0
776,10,ура,15,14.0
777,10,8,15,14.0
778,11,я не знаю,15,14.0
779,4,я тебя люблю,15,14.0
780,10,что происходит,15,14.0
781,11,мразь,15,14.0
782,10,лучший,15,14.0
783,10,вагина,15,14.0
784,6,иллюзия,15,14.0
785,11,прием,15,14.0
786,11,разговаривать,15,14.0
787,11,страх,15,14.0
788,10,красавчик,15,14.0
789,11,моя,15,14.0
790,11,дети,15,14.0
791,10,время,15,14.0
792,8,тебя,15,14.0
793,3,мы,15,14.0
794,10,мы пошли,15,14.0
795,10,бесконечность,15,14.0
796,12,саша,15,14.0
797,10,поехали,15,14.0
798,8,ты,15,14.0
799,10,планета,14,13.0
800,6,лиза,14,13.0
801,11,корабли лавировали,14,13.0
802,11,злата,14,13.0
803,6,платон,14,13.0
804,11,хорошая,14,13.0
805,4,солнце,14,13.0
806,11,за,14,13.0
807,10,хочешь,14,13.0
808,11,корабли,14,13.0
809,10,пупсик,14,13.0
810,10,конец,14,13.0
811,10,пока пока,14,13.0
812,11,escape,14,13.0
813,10,любовь любовь,14,13.0
814,10,не надо,14,13.0
815,4,вы,14,13.0
816,11,с днем рождения,14,13.0
817,10,иди сюда,14,13.0
818,11,алена,14,13.0
819,10,такой,14,13.0
820,3,ничего,14,13.0
821,10,игры,14,13.0
822,6,сегодня,14,13.0
823,5,лучше,14,13.0
824,8,я люблю,14,13.0
825,11,натали,14,13.0
826,11,яна,14,13.0
827,11,denis,14,13.0
828,11,телефон,14,13.0
829,10,лучше всех,14,13.0
830,10,когда я,14,13.0
831,4,будет,14,13.0
832,8,марина,14,13.0
833,4,ульяна,14,13.0
834,11,астана,14,13.0
835,11,pisya,14,13.0
836,1,любовь,14,13.0
837,11,и все,14,13.0
838,10,пиши,14,13.0
839,4,дома,14,13.0
840,5,больше,14,13.0
841,3,смерть,14,13.0
842,3,я люблю тебя,14,13.0
843,11,фото,14,13.0
844,4,hello,14,13.0
845,10,просто,14,13.0
846,11,много,14,13.0
847,10,серега,14,13.0
848,5,one direction,14,13.0
849,4,ты,14,13.0
850,10,крутая,14,13.0
851,6,скажи,14,13.0
852,3,море,14,13.0
853,11,самая,14,13.0
854,11,что происходит,14,13.0
855,4,мы,14,13.0
856,11,никогда,14,13.0
857,11,ощущаю,14,13.0
858,6,морковь,14,13.0
859,6,где,14,13.0
860,6,хорошо,14,13.0
861,11,ехал грека через реку,14,13.0
862,3,здравствуйте,14,13.0
863,11,ты меня слышишь,14,13.0
864,11,имя,14,13.0
865,11,нахуй,14,13.0
866,8,алло,14,13.0
867,11,чтобы,14,13.0
868,4,кирилл,14,13.0
869,4,зачем,14,13.0
870,3,ира,14,13.0
871,3,виктория,14,13.0
872,11,23,14,13.0
873,10,матрица,14,13.0
874,10,окей,14,13.0
875,11,баклажан,14,13.0
876,10,сказал,14,13.0
877,11,ты меня,14,13.0
878,10,лет,14,13.0
879,11,оу,14,13.0
880,10,марио,14,13.0
881,3,кто,14,13.0
882,10,родня,14,13.0
883,6,скажи что-нибудь,14,13.0
884,10,почему ты,14,13.0
885,10,4,14,13.0
886,10,звук,14,13.0
887,5,боль,14,13.0
888,8,нет,14,13.0
889,11,света,14,13.0
890,11,ежик,14,13.0
891,10,с днем рождения,14,13.0
892,4,привет привет,14,13.0
893,11,топ,14,13.0
894,10,еще,14,13.0
895,10,скачать,14,13.0
896,10,было,14,13.0
897,10,боль,14,13.0
898,10,круто,14,13.0
899,3,говори,14,13.0
900,10,вы,14,13.0
901,6,не,14,13.0
902,3,ксюша,13,13.0
903,10,прекрасно,13,13.0
904,4,принцесса,13,13.0
905,10,раз,13,13.0
906,11,всех,13,13.0
907,5,1 1,13,13.0
908,11,кот,13,13.0
909,4,смерть,13,13.0
910,4,смысл,13,13.0
911,11,что будет,13,13.0
912,11,вечер,13,13.0
913,10,не молчи,13,13.0
914,10,с*****,13,13.0
915,10,утро,13,13.0
916,10,и сосала,13,13.0
917,10,я помню,13,13.0
918,10,1234,13,13.0
919,4,товарищ,13,13.0
920,10,люк я твой отец,13,13.0
921,3,что-нибудь,13,13.0
922,10,ля-ля-ля,13,13.0
923,11,земля,13,13.0
924,10,миша миша миша,13,13.0
925,6,дела,13,13.0
926,7,xxxxxxxxxx,13,13.0
927,11,труда,13,13.0
928,5,счастья,13,13.0
929,11,как ты,13,13.0
930,11,прощай,13,13.0
931,11,надо,13,13.0
932,11,11,13,13.0
933,10,раз два три четыре пять,13,13.0
934,10,мгимо,13,13.0
935,4,раз два три,13,13.0
936,10,поговори,13,13.0
937,10,страшно,13,13.0
938,2,люблю,13,13.0
939,10,одноклассники,13,13.0
940,10,сашуля,13,13.0
941,11,круто,13,13.0
942,11,большой,13,13.0
943,11,князева,13,13.0
944,6,прием,13,13.0
945,10,лера,13,13.0
946,10,лес,13,13.0
947,8,1,13,13.0
948,7,яна,13,13.0
949,6,работа,13,13.0
950,7,катя,13,13.0
951,10,чем смысл жизни,13,13.0
952,4,почему,13,13.0
953,3,игра,13,13.0
954,11,супер,13,13.0
955,10,метро,13,13.0
956,11,мартышлюшка,13,13.0
957,11,беспредел,13,13.0
958,10,п****,13,13.0
959,11,дурачок,13,13.0
960,11,рэп,13,13.0
961,3,вы соглашаетесь,13,13.0
962,6,все,13,13.0
963,2,бобровский,13,13.0
964,11,с,13,13.0
965,3,молодец,13,13.0
966,5,кирилл,13,13.0
967,11,окей,13,13.0
968,11,делать,13,13.0
969,5,плюс,13,13.0
970,11,новый год,13,13.0
971,10,кто мы,13,13.0
972,10,осень,13,13.0
973,11,до,13,13.0
974,11,ева,13,13.0
975,8,даша,13,13.0
976,10,что будет завтра,13,13.0
977,8,как дела,13,13.0
978,11,у,13,13.0
979,11,олеся,13,13.0
980,8,зашквар,13,13.0
981,11,роман,13,13.0
982,11,1 2,13,13.0
983,8,никита,13,13.0
984,8,настя,13,13.0
985,1,александр,13,13.0
986,5,а,13,13.0
987,10,мемы,13,13.0
988,7,вк,13,13.0
989,10,радио,13,13.0
990,10,йоу,13,13.0
991,6,счастья,13,13.0
992,10,лол,13,13.0
993,4,х**,13,13.0
994,5,выхода нет,13,13.0
995,5,viber,13,13.0
996,10,лучшая,13,13.0
997,10,сушку,13,13.0
998,11,страшно,13,13.0
999,11,иди,13,13.0
1000,3,катюша,13,13.0
