Pattern,#SUP:
and -1 he -1 s -1 not -1 a -1 captain -1 of -1 ,1.0
just -1 upped -1 my -1 price -1 i -1 got -1 her -1 ,1.0
no -1 more -1 than -1 a -1 week -1 at -1 sea -1 ,1.0
teach -1 her -1 french -1 get -1 to -1 know -1 her -1 dazzle -1 her -1 with -1 charm -1 and -1 she -1 falls -1 ,1.0
institution -1 are -1 severely -1 lacking -1 but -1 killing -1 ,1.0
to -1 promise -1 them -1 you -1 were -1 not -1 a -1 ,1.0
i -1 can -1 be -1 laid -1 back -1 ,1.0
this -1 huge -1 raging -1 fit -1 about -1 sarah -1 lawrence -1 and -1 insists -1 that -1 i -1 go -1 to -1 his -1 maledominated -1 puking -1 ,1.0
we -1 do -1 have -1 a -1 lack -1 ,1.0
think -1 that -1 you -1 had -1 any -1 effect -1 ,1.0
compared -1 to -1 your -1 other -1 choices -1 of -1 expression -1 ,1.0
the -1 prestige -1 of -1 the -1 job -1 title -1 and -1 the -1 ,1.0
you -1 stay -1 with -1 us -1 a -1 ,1.0
not -1 looking -1 at -1 the -1 ,1.0
and -1 you -1 told -1 me -1 that -1 ,1.0
his -1 country -1 is -1 very -1 ,1.0
about -1 and -1 then -1 tell -1 me -1 something -1 i -1 can -1 ,1.0
mewling -1 rampalian -1 wretch -1 herself -1 ,1.0
youre -1 gonna -1 need -1 to -1 learn -1 how -1 to -1 ,1.0
got -1 the -1 sears -1 catalog -1 thing -1 going -1 and -1 the -1 tube -1 sock -1 ,1.0
think -1 the -1 highlights -1 of -1 dating -1 joey -1 dorsey -1 ,1.0
you -1 know -1 how -1 sometimes -1 you -1 just -1 become -1 this -1 persona -1 ,1.0
could -1 find -1 one -1 because -1 then -1 id -1 have -1 to -1 start -1 taking -1 ,1.0
you -1 arent -1 stupid -1 and -1 as -1 far -1 as -1 i -1 can -1 tell -1 youre -1 only -1 ,1.0
on -1 the -1 black -1 market -1 so -1 he -1 ,1.0
realize -1 that -1 the -1 men -1 of -1 this -1 fine -1 institution -1 are -1 ,1.0
strike -1 me -1 as -1 the -1 ,1.0
say -1 hes -1 a -1 moron -1 but -1 hes -1 number -1 twelve -1 in -1 ,1.0
have -1 the -1 potential -1 to -1 smack -1 the -1 crap -1 out -1 of -1 you -1 if -1 you -1 dont -1 get -1 ,1.0
tragedy -1 what -1 a -1 waste -1 of -1 a -1 life -1 you -1 can -1 see -1 ,1.0
oh -1 so -1 now -1 you -1 think -1 you -1 ,1.0
i -1 dont -1 know -1 i -1 have -1 the -1 impression -1 that -1 i -1 didnt -1 change -1 ,1.0
than -1 the -1 woman -1 who -1 said -1 she -1 would -1 take -1 granada -1 ,1.0
let -1 me -1 go -1 out -1 with -1 him -1 instead -1 ,1.0
pinzon -1 pinzon -1 all -1 we -1 can -1 do -1 now -1 is -1 go -1 ,1.0
sacrifice -1 yourself -1 on -1 the -1 altar -1 of -1 dignity -1 ,1.0
little -1 busy -1 dont -1 make -1 me -1 do -1 it -1 man -1 gigglepuss -1 is -1 playing -1 ,1.0
me -1 we -1 havent -1 progressed -1 ,1.0
want -1 me -1 to -1 bend -1 my -1 ,1.0
exposed -1 yourself -1 to -1 a -1 group -1 of -1 freshmen -1 girls -1 ,1.0
william -1 he -1 asked -1 me -1 to -1 meet -1 ,1.0
went -1 to -1 sleep -1 with -1 a -1 concussion -1 and -1 woke -1 up -1 a -1 ,1.0
yourself -1 so -1 you -1 can -1 ,1.0
on -1 the -1 bleachers -1 for -1 years -1 ,1.0
am -1 not -1 willing -1 to -1 have -1 on -1 my -1 conscience -1 the -1 loss -1 of -1 men -1 who -1 would -1 have -1 relied -1 upon -1 our -1 ,1.0
patrick -1 you -1 need -1 therapy -1 ,1.0
job -1 title -1 and -1 the -1 benefits -1 package -1 is -1 pretty -1 good -1 you -1 werent -1 abused -1 you -1 arent -1 stupid -1 and -1 as -1 far -1 ,1.0
moment -1 there -1 are -1 only -1 two -1 ,1.0
need -1 any -1 social -1 advice -1 from -1 you -1 right -1 now -1 ,1.0
i -1 appreciate -1 your -1 efforts -1 toward -1 a -1 speedy -1 death -1 but -1 im -1 ,1.0
like -1 some -1 men -1 we -1 ,1.0
enough -1 the -1 thing -1 is -1 cameron -1 im -1 at -1 ,1.0
out -1 with -1 him -1 instead -1 of -1 helping -1 daddy -1 ,1.0
there -1 try -1 lookin -1 at -1 it -1 from -1 this -1 ,1.0
where -1 can -1 i -1 meet -1 ,1.0
i -1 want -1 you -1 to -1 trust -1 me -1 to -1 ,1.0
since -1 we -1 dont -1 have -1 dates -1 ,1.0
bobby -1 rictors -1 gonad -1 retrieval -1 operation -1 went -1 quite -1 well -1 in -1 case -1 youre -1 ,1.0
look -1 im -1 sorry -1 that -1 i -1 questioned -1 your -1 motives -1 ,1.0
and -1 in -1 the -1 name -1 of -1 those -1 who -1 died -1 we -1 will -1 ,1.0
yeah -1 well -1 dont -1 let -1 it -1 get -1 ,1.0
you -1 dont -1 know -1 what -1 you -1 want -1 ,1.0
bad -1 i -1 guess -1 i -1 never -1 ,1.0
sit -1 around -1 listening -1 to -1 ,1.0
they -1 come -1 and -1 go -1 as -1 naked -1 as -1 the -1 day -1 god -1 created -1 them -1 do -1 they -1 ,1.0
hes -1 orchestrating -1 the -1 battle -1 youre -1 in -1 a -1 position -1 ,1.0
say -1 it -1 see -1 you -1 next -1 ,1.0
job -1 that -1 im -1 about -1 to -1 ,1.0
with -1 money -1 in -1 your -1 eyes -1 me -1 ,1.0
be -1 held -1 in -1 detention -1 deprived -1 of -1 your -1 privileges -1 and -1 ,1.0
and -1 insists -1 that -1 i -1 go -1 to -1 his -1 ,1.0
compared -1 to -1 your -1 other -1 choices -1 ,1.0
want -1 to -1 talk -1 to -1 you -1 about -1 the -1 prom -1 ,1.0
as -1 a -1 parent -1 thats -1 ,1.0
i -1 know -1 just -1 let -1 me -1 sleep -1 uh -1 uh -1 ,1.0
far -1 as -1 i -1 can -1 tell -1 youre -1 only -1 slightly -1 psychotic -1 so -1 why -1 is -1 it -1 ,1.0
youre -1 concentrating -1 awfully -1 hard -1 considering -1 its -1 gym -1 class -1 ,1.0
so -1 he -1 has -1 this -1 huge -1 raging -1 fit -1 about -1 sarah -1 lawrence -1 and -1 insists -1 that -1 i -1 go -1 to -1 ,1.0
is -1 one -1 thing -1 id -1 like -1 to -1 understand -1 ,1.0
with -1 my -1 hand -1 on -1 your -1 ass -1 ,1.0
you -1 covered -1 in -1 my -1 vomit -1 ,1.0
get -1 rid -1 of -1 your -1 prophet -1 now -1 don -1 ,1.0
always -1 look -1 so -1 im -1 sure -1 hes -1 completely -1 incapable -1 of -1 doing -1 anything -1 that -1 ,1.0
i -1 figured -1 it -1 had -1 ,1.0
even -1 be -1 able -1 to -1 ,1.0
me -1 we -1 havent -1 progressed -1 to -1 fullon -1 ,1.0
the -1 islands -1 are -1 covered -1 with -1 trees -1 ,1.0
to -1 have -1 on -1 my -1 conscience -1 the -1 loss -1 ,1.0
their -1 calculations -1 the -1 circumference -1 of -1 the -1 earth -1 is -1 ,1.0
one -1 minute -1 think -1 that -1 you -1 had -1 any -1 effect -1 whatsoever -1 on -1 my -1 ,1.0
proximity -1 to -1 asia -1 do -1 ,1.0
i -1 am -1 your -1 eminence -1 unfortunately -1 don -1 colon -1 that -1 is -1 precisely -1 ,1.0
or -1 mine -1 is -1 ever -1 remembered -1 it -1 ,1.0
we -1 will -1 accomplish -1 what -1 we -1 ,1.0
asks -1 when -1 he -1 can -1 come -1 to -1 visit -1 you -1 ,1.0
prose -1 and -1 angry -1 stinky -1 girl -1 music -1 of -1 the -1 indierock -1 ,1.0
this -1 insane -1 head -1 case -1 and -1 ,1.0
i -1 can -1 t -1 go -1 if -1 kat -1 doesnt -1 go -1 listen -1 i -1 want -1 to -1 talk -1 to -1 ,1.0
with -1 pronunciation -1 if -1 thats -1 okay -1 with -1 ,1.0
that -1 s -1 completely -1 adorable -1 ,1.0
no -1 no -1 its -1 my -1 fault -1 ,1.0
the -1 altar -1 of -1 dignity -1 and -1 even -1 the -1 score -1 ,1.0
going -1 to -1 bogey -1 lowensteins -1 ,1.0
were -1 supposed -1 to -1 want -1 to -1 go -1 out -1 with -1 ,1.0
could -1 make -1 my -1 own -1 decisions -1 you -1 wouldve -1 let -1 me -1 go -1 out -1 with -1 him -1 instead -1 of -1 helping -1 daddy -1 hold -1 me -1 hostage -1 ,1.0
at -1 least -1 start -1 wearing -1 a -1 bra -1 ,1.0
spires -1 what -1 do -1 you -1 see -1 ,1.0
korrine -1 and -1 andrew -1 barrett -1 are -1 having -1 ,1.0
the -1 sears -1 catalog -1 thing -1 going -1 and -1 the -1 ,1.0
head -1 case -1 and -1 no -1 one -1 will -1 go -1 ,1.0
the -1 potential -1 to -1 smack -1 the -1 crap -1 out -1 of -1 you -1 ,1.0
of -1 honor -1 and -1 sincerity -1 ,1.0
cameron -1 im -1 at -1 the -1 ,1.0
the -1 moments -1 i -1 didnt -1 spend -1 with -1 ,1.0
to -1 be -1 interested -1 in -1 this -1 mans -1 proposition -1 your -1 eminence -1 i -1 ,1.0
daddy -1 but -1 theres -1 this -1 boy -1 and -1 i -1 think -1 he -1 might -1 ask -1 ,1.0
blind -1 faith -1 is -1 what -1 i -1 consider -1 ,1.0
not -1 already -1 try -1 to -1 convince -1 the -1 king -1 of -1 portugal -1 of -1 his -1 absurd -1 ,1.0
want -1 to -1 keep -1 your -1 head -1 on -1 your -1 shoulders -1 youll -1 do -1 as -1 i -1 ,1.0
this -1 from -1 the -1 wrong -1 perspective -1 ,1.0
are -1 a -1 man -1 of -1 honor -1 and -1 sincerity -1 and -1 sanchez -1 that -1 you -1 are -1 ,1.0
the -1 nobles -1 a -1 fault -1 for -1 ,1.0
that -1 their -1 daughters -1 are -1 capable -1 of -1 running -1 their -1 ,1.0
i -1 thought -1 you -1 might -1 have -1 a -1 date -1 i -1 dont -1 know -1 why -1 im -1 bothering -1 to -1 ask -1 but -1 are -1 ,1.0
tribes -1 who -1 were -1 fighting -1 each -1 other -1 ,1.0
god -1 intended -1 our -1 proximity -1 to -1 asia -1 do -1 you -1 believe -1 he -1 ,1.0
good -1 you -1 werent -1 abused -1 you -1 arent -1 stupid -1 and -1 as -1 far -1 as -1 i -1 can -1 tell -1 youre -1 only -1 slightly -1 psychotic -1 so -1 ,1.0
realize -1 that -1 the -1 men -1 of -1 this -1 fine -1 institution -1 are -1 severely -1 lacking -1 but -1 killing -1 ,1.0
when -1 ive -1 got -1 blind -1 ,1.0
you -1 why -1 re -1 you -1 doing -1 ,1.0
doesnt -1 count -1 as -1 a -1 ,1.0
boy -1 a -1 pleasure -1 to -1 teach -1 but -1 so -1 serious -1 brothers -1 should -1 ,1.0
the -1 job -1 title -1 and -1 the -1 benefits -1 package -1 is -1 pretty -1 good -1 you -1 werent -1 abused -1 you -1 arent -1 stupid -1 and -1 as -1 ,1.0
men -1 of -1 this -1 fine -1 institution -1 are -1 severely -1 lacking -1 but -1 killing -1 yourself -1 so -1 you -1 ,1.0
given -1 you -1 much -1 of -1 a -1 life -1 ,1.0
is -1 recruit -1 a -1 guy -1 wholl -1 go -1 out -1 ,1.0
smack -1 the -1 crap -1 out -1 of -1 you -1 if -1 you -1 dont -1 get -1 out -1 of -1 my -1 ,1.0
a -1 gay -1 cruise -1 line -1 but -1 ,1.0
barrett -1 are -1 having -1 an -1 incredibly -1 horrendous -1 public -1 ,1.0
get -1 a -1 chance -1 to -1 talk -1 to -1 ,1.0
even -1 grab -1 a -1 sandwich -1 before -1 you -1 women -1 start -1 dilating -1 ,1.0
you -1 want -1 to -1 keep -1 ,1.0
went -1 to -1 sleep -1 with -1 a -1 concussion -1 and -1 woke -1 up -1 ,1.0
i -1 say -1 that -1 camerons -1 love -1 is -1 pure -1 ,1.0
certain -1 pieces -1 of -1 information -1 on -1 miss -1 katarina -1 stratford -1 i -1 think -1 youll -1 ,1.0
them -1 from -1 the -1 start -1 ,1.0
i -1 say -1 do -1 what -1 you -1 ,1.0
you -1 to -1 use -1 big -1 ,1.0
hey -1 ive -1 gotta -1 have -1 ,1.0
look -1 so -1 im -1 sure -1 hes -1 completely -1 incapable -1 ,1.0
veggie -1 burger -1 the -1 only -1 burnt -1 object -1 ,1.0
of -1 your -1 prophet -1 now -1 don -1 ,1.0
i -1 did -1 bianca -1 a -1 ,1.0
moment -1 there -1 are -1 only -1 two -1 ways -1 of -1 ,1.0
savagery -1 is -1 what -1 monkeys -1 ,1.0
to -1 climb -1 up -1 and -1 show -1 you -1 how -1 to -1 get -1 ,1.0
a -1 big -1 tube -1 sock -1 ad -1 ,1.0
im -1 on -1 it -1 when -1 ,1.0
passage -1 to -1 that -1 other -1 ,1.0
leave -1 it -1 to -1 you -1 to -1 use -1 ,1.0
so -1 he -1 could -1 buy -1 new -1 speakers -1 ,1.0
says -1 if -1 you -1 go -1 any -1 lighter -1 youre -1 ,1.0
the -1 world -1 of -1 those -1 who -1 need -1 very -1 expensive -1 ,1.0
in -1 your -1 eyes -1 me -1 with -1 my -1 hand -1 on -1 your -1 ,1.0
it -1 means -1 that -1 gigglepuss -1 is -1 playing -1 at -1 club -1 skunk -1 and -1 ,1.0
actually -1 want -1 to -1 go -1 out -1 with -1 you -1 know -1 ,1.0
to -1 start -1 and -1 yet -1 i -1 want -1 you -1 ,1.0
be -1 listening -1 to -1 you -1 since -1 my -1 ,1.0
at -1 being -1 the -1 prada -1 guy -1 next -1 year -1 ,1.0
always -1 let -1 felons -1 sit -1 in -1 on -1 honors -1 biology -1 ,1.0
on -1 your -1 shoulders -1 youll -1 do -1 as -1 ,1.0
go -1 to -1 this -1 a -1 bastion -1 of -1 ,1.0
sweet -1 love -1 renew -1 thy -1 ,1.0
that -1 i -1 go -1 to -1 ,1.0
more -1 of -1 a -1 gentleman -1 is -1 he -1 oily -1 ,1.0
to -1 the -1 prom -1 with -1 ,1.0
it -1 simply -1 as -1 an -1 alternative -1 to -1 ,1.0
could -1 always -1 go -1 with -1 ,1.0
easy -1 enough -1 the -1 thing -1 is -1 cameron -1 im -1 at -1 the -1 mercy -1 of -1 a -1 particularly -1 ,1.0
make -1 anyone -1 cry -1 today -1 ,1.0
insane -1 head -1 case -1 and -1 no -1 one -1 will -1 go -1 out -1 ,1.0
leagues -1 west -1 of -1 the -1 canary -1 islands -1 ,1.0
utapan -1 wont -1 you -1 speak -1 ,1.0
date -1 easy -1 enough -1 the -1 thing -1 is -1 cameron -1 im -1 at -1 the -1 mercy -1 of -1 ,1.0
you -1 lie -1 down -1 and -1 youll -1 go -1 to -1 sleep -1 i -1 just -1 need -1 to -1 lie -1 down -1 for -1 awhile -1 youre -1 not -1 okay -1 ,1.0
did -1 she -1 actually -1 say -1 shed -1 go -1 out -1 with -1 you -1 ,1.0
an -1 east -1 coast -1 school -1 ,1.0
a -1 pleasure -1 to -1 teach -1 but -1 so -1 serious -1 brothers -1 should -1 be -1 raised -1 together -1 ,1.0
youre -1 supposed -1 to -1 do -1 ,1.0
we -1 can -1 do -1 now -1 is -1 ,1.0
howd -1 you -1 do -1 it -1 ,1.0
i -1 could -1 tell -1 the -1 difference -1 i -1 know -1 just -1 let -1 ,1.0
he -1 thrives -1 on -1 danger -1 what -1 makes -1 ,1.0
you -1 let -1 the -1 enemy -1 think -1 hes -1 orchestrating -1 the -1 ,1.0
time -1 and -1 they -1 get -1 disappointed -1 when -1 ,1.0
sign -1 we -1 left -1 three -1 ,1.0
she -1 cant -1 go -1 out -1 with -1 you -1 because -1 her -1 sister -1 is -1 ,1.0
counted -1 on -1 you -1 to -1 help -1 ,1.0
give -1 up -1 my -1 private -1 line -1 ,1.0
not -1 everything -1 do -1 you -1 think -1 i -1 ,1.0
liver -1 on -1 the -1 black -1 market -1 so -1 he -1 could -1 buy -1 new -1 ,1.0
could -1 say -1 hes -1 a -1 moron -1 but -1 hes -1 number -1 twelve -1 in -1 the -1 class -1 ,1.0
a -1 way -1 to -1 get -1 ,1.0
so -1 she -1 still -1 cant -1 go -1 out -1 with -1 you -1 ,1.0
expect -1 me -1 to -1 take -1 all -1 ,1.0
girl -1 like -1 that -1 out -1 on -1 twenty -1 ,1.0
of -1 jared -1 leto -1 in -1 one -1 of -1 her -1 drawers -1 so -1 im -1 pretty -1 sure -1 ,1.0
an -1 alternative -1 to -1 what -1 ,1.0
senor -1 colon -1 that -1 you -1 are -1 in -1 no -1 position -1 to -1 bargain -1 with -1 me -1 ,1.0
why -1 do -1 girls -1 like -1 that -1 always -1 ,1.0
unfortunately -1 don -1 colon -1 that -1 is -1 precisely -1 where -1 our -1 ,1.0
howd -1 you -1 get -1 chapin -1 ,1.0
that -1 because -1 of -1 your -1 criminal -1 ,1.0
not -1 unless -1 my -1 sister -1 ,1.0
it -1 seems -1 to -1 me -1 the -1 man -1 is -1 preparing -1 his -1 own -1 cross -1 ,1.0
to -1 asia -1 do -1 you -1 believe -1 he -1 would -1 have -1 waited -1 for -1 you -1 to -1 show -1 it -1 to -1 the -1 world -1 ,1.0
you -1 dont -1 think -1 i -1 can -1 be -1 ,1.0
the -1 risks -1 while -1 you -1 take -1 the -1 profit -1 ,1.0
to -1 bring -1 the -1 word -1 ,1.0
noticed -1 the -1 only -1 part -1 of -1 you -1 ,1.0
nope -1 just -1 came -1 by -1 ,1.0
listening -1 to -1 you -1 since -1 ,1.0
seem -1 to -1 have -1 a -1 special -1 talent -1 for -1 making -1 ,1.0
would -1 really -1 deplore -1 the -1 loss -1 of -1 such -1 a -1 potential -1 opportunity -1 for -1 spain -1 for -1 a -1 dispute -1 over -1 a -1 point -1 ,1.0
he -1 has -1 this -1 huge -1 raging -1 fit -1 about -1 sarah -1 lawrence -1 and -1 insists -1 that -1 i -1 go -1 to -1 his -1 maledominated -1 puking -1 frat -1 boy -1 number -1 one -1 golf -1 ,1.0
they -1 tell -1 me -1 you -1 the -1 new -1 guy -1 ,1.0
i -1 spent -1 a -1 year -1 sitting -1 next -1 to -1 my -1 grandma -1 on -1 the -1 couch -1 watching -1 ,1.0
package -1 is -1 pretty -1 good -1 you -1 werent -1 ,1.0
out -1 of -1 you -1 if -1 you -1 dont -1 get -1 out -1 of -1 ,1.0
ive -1 ever -1 heard -1 her -1 say -1 is -1 that -1 shed -1 dip -1 before -1 dating -1 a -1 ,1.0
to -1 reveal -1 himself -1 to -1 the -1 world -1 ,1.0
a -1 picture -1 of -1 jared -1 leto -1 in -1 one -1 of -1 her -1 drawers -1 so -1 im -1 ,1.0
guess -1 ill -1 never -1 know -1 ,1.0
away -1 from -1 me -1 i -1 can -1 arrange -1 for -1 the -1 queen -1 to -1 take -1 fernando -1 and -1 diego -1 into -1 her -1 ,1.0
then -1 was -1 a -1 different -1 ,1.0
like -1 that -1 to -1 me -1 ,1.0
go -1 to -1 sleep -1 i -1 just -1 need -1 to -1 lie -1 ,1.0
make -1 him -1 busier -1 they -1 took -1 everything -1 they -1 tried -1 but -1 ,1.0
seven -1 your -1 majesty -1 and -1 ,1.0
you -1 werent -1 abused -1 you -1 arent -1 stupid -1 and -1 as -1 far -1 as -1 i -1 can -1 tell -1 youre -1 only -1 slightly -1 psychotic -1 so -1 why -1 is -1 it -1 that -1 youre -1 ,1.0
these -1 guys -1 are -1 no -1 bikini -1 kill -1 or -1 the -1 raincoats -1 but -1 theyre -1 right -1 ,1.0
say -1 shit -1 like -1 that -1 to -1 ,1.0
will -1 accomplish -1 what -1 we -1 came -1 for -1 ,1.0
then -1 guillermo -1 says -1 if -1 you -1 go -1 any -1 ,1.0
cameron -1 im -1 a -1 little -1 busy -1 dont -1 make -1 me -1 do -1 it -1 ,1.0
has -1 this -1 huge -1 raging -1 fit -1 about -1 sarah -1 lawrence -1 and -1 insists -1 that -1 i -1 go -1 to -1 his -1 maledominated -1 puking -1 frat -1 boy -1 number -1 one -1 golf -1 team -1 school -1 ,1.0
forest -1 there -1 is -1 enough -1 danger -1 ,1.0
i -1 had -1 to -1 promise -1 them -1 you -1 were -1 not -1 a -1 total -1 ,1.0
abused -1 you -1 arent -1 stupid -1 and -1 as -1 far -1 as -1 i -1 can -1 ,1.0
opportunity -1 for -1 spain -1 for -1 a -1 dispute -1 ,1.0
regional -1 stuff -1 but -1 hes -1 rumored -1 to -1 have -1 a -1 big -1 tube -1 sock -1 ,1.0
he -1 has -1 the -1 teacher -1 i -1 would -1 ,1.0
just -1 said -1 did -1 she -1 actually -1 say -1 ,1.0
of -1 the -1 canary -1 islands -1 ,1.0
danger -1 what -1 makes -1 you -1 think -1 hell -1 do -1 it -1 ,1.0
well -1 dont -1 let -1 it -1 get -1 out -1 a -1 ,1.0
reason -1 to -1 be -1 interested -1 in -1 this -1 mans -1 proposition -1 your -1 eminence -1 i -1 cant -1 ,1.0
find -1 other -1 populations -1 and -1 bring -1 them -1 ,1.0
buy -1 her -1 some -1 noodles -1 and -1 a -1 book -1 and -1 sit -1 around -1 listening -1 to -1 chicks -1 who -1 cant -1 play -1 ,1.0
are -1 covered -1 with -1 trees -1 filled -1 with -1 blossoms -1 and -1 fruits -1 ,1.0
well -1 theres -1 someone -1 i -1 think -1 might -1 be -1 how -1 is -1 ,1.0
go -1 out -1 with -1 him -1 instead -1 of -1 helping -1 daddy -1 hold -1 me -1 ,1.0
know -1 why -1 im -1 bothering -1 to -1 ask -1 but -1 are -1 you -1 going -1 ,1.0
know -1 i -1 have -1 the -1 impression -1 that -1 i -1 didnt -1 change -1 that -1 ,1.0
men -1 of -1 this -1 fine -1 institution -1 are -1 severely -1 lacking -1 but -1 killing -1 yourself -1 so -1 you -1 can -1 be -1 with -1 william -1 shakespeare -1 is -1 beyond -1 the -1 scope -1 of -1 normal -1 teenage -1 ,1.0
can -1 tell -1 youre -1 only -1 slightly -1 psychotic -1 so -1 why -1 is -1 it -1 that -1 ,1.0
ever -1 remembered -1 it -1 will -1 only -1 ,1.0
because -1 im -1 not -1 susie -1 ,1.0
if -1 you -1 really -1 thought -1 i -1 could -1 make -1 my -1 own -1 decisions -1 you -1 wouldve -1 let -1 me -1 go -1 out -1 with -1 ,1.0
of -1 it -1 simply -1 as -1 an -1 alternative -1 to -1 what -1 the -1 law -1 allows -1 ,1.0
their -1 gene -1 pool -1 is -1 ,1.0
you -1 had -1 any -1 effect -1 whatsoever -1 on -1 my -1 ,1.0
me -1 have -1 you -1 seen -1 the -1 ,1.0
the -1 only -1 sophomore -1 that -1 got -1 asked -1 to -1 the -1 prom -1 and -1 i -1 ,1.0
i -1 would -1 like -1 to -1 catch -1 up -1 ,1.0
you -1 act -1 like -1 youre -1 too -1 good -1 for -1 any -1 ,1.0
you -1 away -1 from -1 me -1 i -1 can -1 arrange -1 for -1 the -1 queen -1 to -1 take -1 fernando -1 and -1 ,1.0
gone -1 for -1 a -1 year -1 ,1.0
to -1 be -1 something -1 ridiculous -1 to -1 win -1 your -1 ,1.0
find -1 kat -1 a -1 boyfriend -1 thats -1 ,1.0
